p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0,0.8042533928425908,0.151,0.045,0,ABCC4
0,0.7241759384783486,0.268,0.137,0,AC007319.1
0,-1.1871533069622624,0.308,0.56,0,AC011604.2
0,1.333138485688214,0.288,0.07,0,AC018742.1
0,0.7865013293412536,0.325,0.147,0,AC025627.1
0,-1.0134894978496432,0.015,0.104,0,AC078980.1
0,1.0816286055325075,0.23,0.071,0,AC233296.1
0,-0.6431203186378212,0.449,0.582,0,AC243964.2
0,0.44281220657274134,0.559,0.396,0,AC245297.3
0,-0.525317242542467,0.77,0.872,0,ACACB
0,-0.3180408853203176,0.816,0.887,0,ACSL1
0,-0.214862797942444,0.874,0.854,0,ACSM2B
0,-0.7102051388448093,0.434,0.628,0,ADAMTSL3
0,0.9147506695322053,0.552,0.368,0,ADGRL2
0,-0.2555181773918386,0.803,0.852,0,ADRA1A
0,-0.6362756122499706,0.521,0.658,0,AFMID
0,-1.001505064351263,0.327,0.55,0,AGFG2
0,2.0897106417264872,0.258,0.01,0,AKR1B10
0,0.835395664067162,0.261,0.114,0,AL109930.1
0,0.9514746463717074,0.237,0.082,0,AL356272.1
0,1.052775092687297,0.111,0.013,0,AL356479.1
0,1.02641438678511,0.439,0.189,0,AL357793.1
0,-0.4758652320215115,0.63,0.683,0,ALDH1L1
0,0.435851156831062,0.899,0.707,0,ALDOB
0,0.9835522860091939,0.188,0.053,0,ALPK2
0,0.9329757246222665,0.105,0.015,0,ANKRD18A
0,-0.6411350228367221,0.305,0.457,0,ANPEP
0,0.8115463271432453,0.269,0.13,0,ANXA2
0,-0.2739982559586305,0.807,0.872,0,AOX1
0,0.5742025390055749,0.457,0.276,0,APOA2
0,0.47997277103515973,0.519,0.361,0,APP
0,1.3133576159754854,0.191,0.026,0,AQP4-AS1
0,1.3818423761223093,0.285,0.063,0,ARHGAP10
0,0.4963232150831127,0.468,0.312,0,ARHGAP12
0,0.8824079954982493,0.177,0.071,0,ATF3
0,-0.5496599572820613,0.463,0.603,0,ATF5
0,0.4720188743671574,0.803,0.596,0,BAAT
0,2.045922275950428,0.187,0.003,0,BACE2
0,1.1529475591556273,0.103,0.002,0,BCL2
0,-0.4886171852257931,0.707,0.825,0,BDH1
0,1.965660145275416,0.168,0.004,0,BICC1
0,1.1138825779447106,0.207,0.054,0,BICD1
0,0.8477318278698467,0.198,0.078,0,BICDL1
0,-0.4883612766339074,0.78,0.904,0,C1R
0,-0.33058858084633713,0.964,0.992,0,C3
0,0.6844223517808334,0.342,0.179,0,CAP2
0,0.6679692512950305,0.52,0.34,0,CBLB
0,0.4566721415721441,0.516,0.353,0,CDH1
0,-1.1646695916260703,0.098,0.268,0,CDH23
0,-0.3913701287586221,0.639,0.769,0,CECR2
0,0.6705113969873946,0.562,0.352,0,CERS6
0,1.9911423791949794,0.658,0.151,0,CHST9
0,1.1453201953820675,0.194,0.042,0,CLIP4
0,-0.47894662824021156,0.58,0.7,0,CLMN
0,0.7250311384479895,0.445,0.243,0,CNTN3
0,1.6556467977133422,0.495,0.115,0,CNTNAP3B
0,-0.3726019095730939,0.776,0.862,0,COL18A1
0,0.31928240510526196,0.758,0.569,0,CRP
0,-0.7980158796428692,0.308,0.458,0,CTNNA3
0,-0.46125610471971124,0.501,0.64,0,CYP2B6
0,-0.6780428212255591,0.65,0.881,0,CYP2E1
0,-0.767723596424829,0.308,0.426,0,CYP3A4
0,1.1182764439451778,0.11,0.011,0,DCDC2
0,0.9367682504610579,0.168,0.052,0,DGKH
0,0.354702053811407,0.751,0.603,0,DOCK5
0,-0.9472573273418217,0.07,0.203,0,DOK6
0,3.077971546344997,0.569,0.027,0,DTNA
0,0.9657196455685058,0.243,0.081,0,E2F3
0,-0.24684523441154171,0.911,0.921,0,ECHDC2
0,-0.9166792265270747,0.08,0.191,0,EFHD1
0,0.8880878783203675,0.359,0.162,0,ELF3
0,1.5713023374645219,0.212,0.025,0,EPB41L4A
0,1.506630213744191,0.154,0.009,0,ESRRG
0,-0.6902493422830713,0.107,0.228,0,ETNK2
0,0.5441139476456021,0.594,0.402,0,ETS2
0,-0.6316614294066616,0.462,0.634,0,EVL
0,1.0508150578880466,0.272,0.112,0,EYS
0,-0.45515928433269914,0.643,0.746,0,F2
0,0.8121821556764548,0.146,0.047,0,FAM169A
0,1.1397308947759763,0.471,0.198,0,FAT1
0,1.5776238732968646,0.124,0.005,0,FGF13
0,0.262194011828645,0.932,0.852,0,FHIT
0,1.1555636039254487,0.148,0.037,0,FMNL2
0,-0.5161244461688249,0.841,0.937,0,FP236383.1
0,-0.3953560792892077,0.868,0.915,0,FP671120.1
0,1.0722285088252568,0.346,0.148,0,FST
0,1.1176442926255392,0.107,0.01,0,GABRB3
0,0.49002707524501465,0.748,0.594,0,GDA
0,1.1594052042144833,0.142,0.021,0,GLS
0,-0.6858677172766232,0.275,0.434,0,GNE
0,-1.040475396032861,0.049,0.179,0,GNMT
