p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
0,-0.6738226543262306,0.51,0.699,0,A2M
0,0.5257753709297003,0.588,0.4,0,ABCC9
0,0.6470138600989482,0.535,0.381,0,AC022784.6
0,-1.0063244332830201,0.173,0.394,0,AC244131.2
0,0.6424005129784008,0.7,0.528,0,ADAMTS17
0,0.41072132611625733,0.848,0.706,0,ADGRA3
0,-1.1030778756740702,0.181,0.409,0,AKR1C2
0,-0.9009696333652002,0.222,0.381,0,ALAS1
0,2.004937201089325,0.431,0.097,0,ANKS1B
0,0.8505215879530832,0.529,0.341,0,ANO1
0,-0.6179478301358277,0.522,0.66,0,ATP2B2
0,0.5379450350143732,0.577,0.397,0,BCO2
0,-0.5538732102969466,0.483,0.633,0,CADM1
0,1.2110795824270162,0.726,0.501,0,CAPN12
0,1.1738327322967863,0.372,0.151,0,CHST9
0,0.7701606032763828,0.256,0.115,0,CNTNAP3B
0,-1.4047799177899878,0.178,0.426,0,CYP3A4
0,-0.6103590159258692,0.546,0.722,0,ESR1
0,-0.3118674916076736,0.841,0.901,0,EXT1
0,2.038903798755552,0.234,0.005,0,EYA2
0,0.5345432779630337,0.863,0.7,0,FKBP5
0,-0.5764277193601595,0.544,0.688,0,GBE1
0,-1.0288106070090275,0.009,0.1,0,HECW2
0,-0.8384483069208946,0.337,0.499,0,IL1RAPL2
0,0.7519876219565216,0.583,0.365,0,KCNMA1
0,1.0484983245051278,0.132,0.034,0,LAMB1
0,0.6677007923779307,0.627,0.404,0,LIMCH1
0,0.6703134471967002,0.574,0.378,0,LINC00854
0,1.110457226246214,0.581,0.256,0,LINC01554
0,1.269073359212201,0.199,0.042,0,LINC01595
0,0.6879268217701897,0.567,0.362,0,LINC01818
0,0.591270425241342,0.539,0.355,0,LINC02197
0,0.7962445869515042,0.614,0.345,0,LINC02484
0,0.9506143691922617,0.719,0.467,0,MFSD2A
0,-0.5767172824875741,0.463,0.624,0,MYOM1
0,-0.948936714976579,0.244,0.468,0,PDE4D
0,0.3606901481327941,0.927,0.851,0,PRKAG2
0,-0.43194123166741016,0.571,0.717,0,RGN
0,0.42182220838612694,0.882,0.75,0,SHROOM3
0,-0.9691723126380731,0.075,0.211,0,SLC17A3
0,-1.0096076354447074,0.123,0.272,0,SLC1A2
0,-0.5839747853782812,0.543,0.703,0,SLC22A23
0,1.088611013718797,0.372,0.143,0,SPIRE1
0,1.146173257202411,0.168,0.027,0,SPRN
0,-0.41801306909654123,0.69,0.812,0,TNS3
0,-1.103385081446345,0.175,0.352,0,UGT2B15
0,1.0694105465288612,0.326,0.15,0,USP43
0,0.6299494111817356,0.185,0.065,0,XKR9
0,0.4024597469550094,0.924,0.753,0,ZBTB16
0,1.6416716297467966,0.326,0.107,0,ZNF385D
8.605991507291779e-308,-1.1186344042493956,0.145,0.287,2.2452171243373522e-303,AP001043.1
9.930256182667553e-307,0.4787332192789952,0.709,0.57,2.590704535496138e-302,ABCA5
1.7959504866133435e-304,-0.44400127831864517,0.614,0.725,4.685455224525552e-300,FN1
1.8285678424739846e-304,-0.6267063536276147,0.412,0.56,4.770550644230378e-300,AC011604.2
3.013400451944695e-302,-0.9802880621234675,0.087,0.222,7.861660439078515e-298,GPC5
1.61954469339288e-301,-0.6459644415376846,0.381,0.528,4.225230150592684e-297,PTP4A1
2.9644433523061655e-297,-0.7739649908164579,0.193,0.351,7.733936261831556e-293,SLC17A1
6.493418932223013e-294,0.39280427140598795,0.749,0.659,1.694068065227662e-289,TENM2
5.943042062979825e-292,0.5153248051359423,0.619,0.471,1.5504802438108066e-287,REPS1
2.6754210965246223e-291,-0.877250230638164,0.134,0.279,6.979906098723087e-287,HSP90AA1
